date,open,high,low,close,atr,rsi
14/03/2005,0.6989,0.69965,0.6973,0.69855,0.003424971,65.79289921
15/03/2005,0.69865,0.69905,0.69475,0.69555,0.003492281,57.18283529
16/03/2005,0.6953,0.697,0.6942,0.69657,0.003439029,59.14069654
17/03/2005,0.6966,0.6971,0.69445,0.69484,0.003378334,54.58196724
18/03/2005,0.69475,0.69585,0.69301,0.69335,0.003336924,50.9399599
21/03/2005,0.69336,0.69535,0.6916,0.69379,0.003368699,51.95937572
22/03/2005,0.6937,0.69575,0.69303,0.6937,0.003318799,51.72263192
23/03/2005,0.6938,0.6963,0.69245,0.69474,0.003359661,54.31312051
24/03/2005,0.6946,0.69615,0.69183,0.69227,0.003433533,47.75863907
25/03/2005,0.6925,0.6936,0.69198,0.69265,0.00329403,48.78269028
28/03/2005,0.693,0.69373,0.68963,0.69097,0.003356028,44.61848282
29/03/2005,0.69079,0.69265,0.68853,0.68946,0.003414795,41.21318474
30/03/2005,0.6897,0.69062,0.68725,0.68756,0.003411349,37.35042883
31/03/2005,0.6876,0.68955,0.68525,0.6858,0.003479707,34.1568163
01/04/2005,0.6858,0.6884,0.68532,0.68598,0.00344896,34.7711031
04/04/2005,0.68587,0.6879,0.6846,0.68505,0.003437502,33.05519053
05/04/2005,0.685,0.6854,0.6826,0.68413,0.003388463,31.40416605
06/04/2005,0.684,0.68583,0.68337,0.6845,0.003317043,32.8566634
07/04/2005,0.68441,0.68865,0.68425,0.6876,0.003400347,43.62708604
08/04/2005,0.68785,0.68785,0.68512,0.6859,0.003348782,39.85180145
11/04/2005,0.68598,0.68701,0.68513,0.68603,0.003235799,40.27741087
12/04/2005,0.68615,0.68685,0.6827,0.68291,0.003306122,34.05007119
13/04/2005,0.683,0.684,0.68075,0.68172,0.003301805,32.01679702
14/04/2005,0.6817,0.68253,0.68045,0.68094,0.00320782,30.72183396
15/04/2005,0.6809,0.68337,0.68025,0.68275,0.003201065,37.08139632
18/04/2005,0.6824,0.68463,0.68153,0.68415,0.00319329,41.55074246
19/04/2005,0.68415,0.68485,0.67965,0.681,0.003347653,35.44921298
20/04/2005,0.6811,0.68235,0.68014,0.6818,0.003260141,37.9416504
21/04/2005,0.6818,0.68575,0.68145,0.6836,0.00334013,43.25107617
22/04/2005,0.6836,0.6845,0.6817,0.68246,0.003298582,40.8663931
25/04/2005,0.68209,0.6823,0.6784,0.6805,0.003357152,37.08092006
26/04/2005,0.6804,0.68178,0.6793,0.6813,0.003289679,39.54254732
27/04/2005,0.681,0.68195,0.67845,0.67851,0.003305858,34.47657367
28/04/2005,0.6785,0.6796,0.67554,0.6764,0.003363869,31.21909535
29/04/2005,0.67655,0.67823,0.6741,0.67431,0.003422802,28.36069642
02/05/2005,0.67498,0.67908,0.6738,0.6789,0.003565663,41.11262338
03/05/2005,0.679,0.682,0.6777,0.68017,0.003622151,44.07866804
04/05/2005,0.68,0.68235,0.68,0.6804,0.003524293,44.62266482
05/05/2005,0.6806,0.6824,0.67895,0.67959,0.003518578,43.03491653
06/05/2005,0.67958,0.68318,0.67755,0.67805,0.003680995,40.1125994
09/05/2005,0.6778,0.68205,0.6777,0.68175,0.003732457,49.06235066
10/05/2005,0.68166,0.6844,0.68162,0.68405,0.003659191,53.6948522
11/05/2005,0.6841,0.68467,0.6817,0.68423,0.003606176,54.04707638
12/05/2005,0.6843,0.685,0.6802,0.6807,0.003698009,46.56627269
13/05/2005,0.68051,0.6831,0.6795,0.6825,0.00369047,50.34076512
16/05/2005,0.68245,0.6883,0.6813,0.6878,0.003945049,59.42844108
17/05/2005,0.6877,0.68805,0.6865,0.68755,0.003760815,58.88107565
18/05/2005,0.6876,0.6896,0.68673,0.68905,0.00369229,61.19076737
19/05/2005,0.6891,0.68981,0.6869,0.6884,0.003632114,59.62773712
20/05/2005,0.6882,0.68885,0.6869,0.68744,0.003502721,57.2997696
23/05/2005,0.68728,0.68823,0.68576,0.68723,0.003423281,56.77756809
24/05/2005,0.68723,0.68877,0.68645,0.68865,0.003338413,59.46750629
25/05/2005,0.68873,0.68895,0.6872,0.68803,0.003216227,57.77677561
26/05/2005,0.68773,0.6887,0.68635,0.68745,0.003149594,56.16796694
27/05/2005,0.6874,0.6904,0.6865,0.6899,0.003207318,61.09594476
30/05/2005,0.6903,0.6903,0.68364,0.68413,0.003472909,47.53997745
31/05/2005,0.6842,0.68485,0.67655,0.67705,0.003844224,36.76157557
01/06/2005,0.67705,0.6777,0.6724,0.67312,0.003956206,32.37390098
02/06/2005,0.6732,0.6765,0.673,0.67575,0.003921114,37.73020946
03/06/2005,0.6758,0.6768,0.6735,0.67396,0.003873336,35.65999882
06/06/2005,0.6736,0.6754,0.67185,0.6719,0.003848464,33.38943721
07/06/2005,0.6719,0.67305,0.6684,0.66945,0.00391012,30.87177686
08/06/2005,0.6693,0.67175,0.669,0.67097,0.00382088,34.18735723
09/06/2005,0.671,0.67205,0.6692,0.67168,0.003746197,35.73781205
10/06/2005,0.67165,0.67205,0.6677,0.66865,0.003792644,32.24640813
13/06/2005,0.6685,0.6707,0.66735,0.67025,0.003758594,35.81243859
14/06/2005,0.6703,0.6728,0.66565,0.66615,0.004019471,31.27054703
15/06/2005,0.66625,0.66737,0.66355,0.66474,0.004004127,29.86765597
16/06/2005,0.6646,0.6656,0.6631,0.66435,0.003888425,29.47378448
17/06/2005,0.66437,0.67144,0.66359,0.67101,0.004193162,43.23937593
20/06/2005,0.66905,0.6704,0.6653,0.6662,0.004309842,37.54037836
21/06/2005,0.66615,0.6669,0.66395,0.66591,0.004205239,37.22184527
22/06/2005,0.6659,0.66881,0.66467,0.66577,0.00420022,37.05836817
23/06/2005,0.6657,0.66633,0.66113,0.66328,0.004277126,34.18280618
24/06/2005,0.66312,0.6642,0.6612,0.66275,0.004178886,33.5854291
27/06/2005,0.66298,0.6663,0.66298,0.6651,0.00413051,38.70074773
28/06/2005,0.665,0.66641,0.66395,0.66425,0.004002009,37.57348148
29/06/2005,0.6643,0.66982,0.6627,0.66815,0.004241855,45.42780736
30/06/2005,0.6683,0.67625,0.66794,0.6757,0.004554789,56.76782881
01/07/2005,0.67575,0.67992,0.67458,0.6765,0.00461519,57.76920993
04/07/2005,0.67573,0.6786,0.67555,0.67639,0.004494791,57.57174538
05/07/2005,0.6764,0.6791,0.67585,0.67816,0.004399037,59.94433132
06/07/2005,0.6783,0.68045,0.67755,0.68033,0.004283727,62.69834466
07/07/2005,0.68031,0.6892,0.68005,0.6849,0.004658056,67.73031357
08/07/2005,0.68485,0.68917,0.68435,0.68849,0.004670513,71.03579273
11/07/2005,0.68836,0.69014,0.6864,0.68675,0.004598935,67.43053934
12/07/2005,0.68672,0.6899,0.68655,0.68842,0.004502863,69.05390488
13/07/2005,0.6886,0.69135,0.68503,0.68523,0.004642643,62.63203937
14/07/2005,0.68535,0.6893,0.6842,0.6879,0.004677824,65.52217416
15/07/2005,0.688,0.68918,0.68545,0.68695,0.004604915,63.63626652
18/07/2005,0.68706,0.69135,0.6866,0.68933,0.004616075,66.2566136
19/07/2005,0.68921,0.69207,0.68715,0.6915,0.004639454,68.48636438
20/07/2005,0.6915,0.6991,0.6912,0.69863,0.004890265,74.45848746
21/07/2005,0.6987,0.69885,0.6926,0.6948,0.00499486,67.10216587
22/07/2005,0.695,0.6965,0.69305,0.6937,0.004876025,65.11245861
25/07/2005,0.69375,0.69475,0.6895,0.69075,0.004904792,59.97621388
26/07/2005,0.6907,0.6919,0.68939,0.69138,0.004720577,60.68938649
